                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.9654,                  6.426,                 1.6206,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                0.07075,                0.00325,                0.00325
                      1,                  1.907,                 2.9357,                 1.6118,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,               0.040725,              0.0065579,              0.0065579
                      2,                 1.8705,                 2.7235,                 1.5821,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,               0.010673,                0.00984,                0.00984
                      3,                 1.8243,                 2.5804,                  1.563,                0.34236,                0.17622,                0.07051,                0.03492,                 2.0066,                   48.6,                 2.0011,               0.009884,               0.009884,               0.009884
                      4,                 1.7264,                 2.4204,                 1.5177,                0.40434,                0.26435,                0.11798,                 0.0638,                 1.7567,                 17.232,                 1.9195,               0.009884,               0.009884,               0.009884
                      5,                 1.6854,                 2.2875,                 1.4904,                0.49271,                0.14695,                0.15804,                0.08394,                 1.7983,                 2.8102,                 1.7632,              0.0098453,              0.0098453,              0.0098453
                      6,                 1.6757,                 2.2811,                 1.5097,                0.32177,                  0.274,                0.20809,                0.11518,                 1.6176,                 2.9569,                 1.6021,              0.0098066,              0.0098066,              0.0098066
                      7,                 1.6414,                 2.1824,                 1.4613,                0.63918,                0.25922,                0.23129,                0.13227,                 1.5707,                 2.5698,                 1.5967,               0.009768,               0.009768,               0.009768
                      8,                 1.6014,                 2.1279,                 1.4285,                0.61836,                0.20343,                 0.1757,                0.10997,                 1.5887,                 4.5259,                 1.5861,              0.0097293,              0.0097293,              0.0097293
                      9,                  1.591,                 2.0808,                 1.4426,                0.41854,                0.29875,                0.29625,                 0.1717,                 1.6273,                 2.0832,                 1.5753,              0.0096906,              0.0096906,              0.0096906
                     10,                 1.5577,                 1.9292,                 1.4094,                0.54063,                0.32305,                0.31623,                0.19564,                 1.4639,                 1.8916,                 1.4965,               0.009652,               0.009652,               0.009652
                     11,                 1.5621,                 1.9389,                 1.4275,                0.47405,                0.35128,                0.29944,                0.17656,                 1.5592,                 1.9251,                 1.5634,              0.0096133,              0.0096133,              0.0096133
                     12,                 1.5681,                 1.9548,                 1.4347,                0.31322,                  0.277,                 0.2704,                0.15915,                 1.4663,                  3.184,                 1.5418,              0.0095746,              0.0095746,              0.0095746
                     13,                 1.5171,                 1.8506,                 1.3834,                0.54047,                0.25041,                0.26079,                0.13695,                 1.8037,                 2.3183,                 1.6661,              0.0095359,              0.0095359,              0.0095359
                     14,                 1.5091,                 1.8634,                 1.4049,                0.47459,                 0.2899,                0.34037,                0.20456,                 1.6057,                 1.8353,                 1.6219,              0.0094973,              0.0094973,              0.0094973
                     15,                 1.5295,                 1.8578,                 1.4162,                0.70519,                0.37371,                0.42697,                 0.2695,                 1.4086,                 1.7049,                 1.4732,              0.0094586,              0.0094586,              0.0094586
                     16,                 1.4734,                 1.7184,                 1.3673,                0.66608,                 0.3147,                0.41093,                0.24429,                 1.5389,                 1.7643,                  1.498,              0.0094199,              0.0094199,              0.0094199
                     17,                 1.5333,                 1.7138,                 1.3898,                0.49883,                0.40612,                0.42367,                0.23916,                 1.4925,                 1.7674,                  1.535,              0.0093813,              0.0093813,              0.0093813
                     18,                 1.4842,                 1.6264,                 1.3779,                0.68779,                0.38023,                0.44969,                0.28062,                  1.489,                 1.6792,                 1.5112,              0.0093426,              0.0093426,              0.0093426
                     19,                 1.4467,                 1.5782,                 1.3572,                 0.6482,                0.44857,                0.53043,                0.29947,                  1.596,                 1.5119,                  1.535,              0.0093039,              0.0093039,              0.0093039
                     20,                 1.4694,                 1.5317,                 1.3684,                 0.6601,                0.42233,                 0.4837,                0.29002,                 1.4332,                 1.4918,                 1.5229,              0.0092652,              0.0092652,              0.0092652
                     21,                 1.4648,                 1.5623,                 1.3579,                0.53946,                0.50457,                0.51937,                0.32115,                 1.4138,                 1.4222,                 1.4711,              0.0092266,              0.0092266,              0.0092266
                     22,                 1.4262,                 1.5071,                 1.3364,                0.70029,                0.47635,                0.55334,                0.33511,                 1.3942,                 1.5229,                 1.4537,              0.0091879,              0.0091879,              0.0091879
                     23,                 1.4235,                 1.4833,                 1.3497,                0.62153,                 0.4622,                0.49373,                0.29891,                 1.4734,                   1.73,                 1.4844,              0.0091492,              0.0091492,              0.0091492
                     24,                 1.4047,                 1.4653,                 1.3159,                0.57482,                0.51644,                0.55218,                0.34305,                 1.3007,                 1.4094,                 1.4169,              0.0091105,              0.0091105,              0.0091105
                     25,                 1.4173,                 1.4938,                 1.3265,                0.62146,                0.53063,                0.61214,                0.38298,                 1.4527,                  1.246,                 1.4585,              0.0090719,              0.0090719,              0.0090719
                     26,                 1.4029,                 1.4311,                 1.3248,                0.59266,                0.45385,                0.51998,                0.32064,                 1.4489,                 1.2767,                  1.549,              0.0090332,              0.0090332,              0.0090332
                     27,                 1.3484,                 1.3735,                 1.2923,                0.76966,                0.48527,                0.57523,                0.35469,                 1.4989,                 1.3997,                 1.4846,              0.0089945,              0.0089945,              0.0089945
                     28,                 1.3704,                 1.3763,                 1.3121,                0.50197,                0.52629,                0.52815,                0.32577,                 1.3994,                 1.3264,                  1.464,              0.0089559,              0.0089559,              0.0089559
                     29,                 1.4035,                 1.3877,                 1.3361,                0.70644,                0.43494,                0.51139,                0.32516,                 1.4583,                 1.4344,                 1.4706,              0.0089172,              0.0089172,              0.0089172
                     30,                 1.3505,                 1.3876,                 1.3138,                0.68083,                0.53476,                0.59604,                0.36193,                 1.5491,                 1.3371,                 1.5394,              0.0088785,              0.0088785,              0.0088785
                     31,                 1.3847,                 1.3643,                  1.315,                0.61557,                 0.5378,                0.57635,                0.33473,                 1.5666,                 1.4205,                 1.5099,              0.0088398,              0.0088398,              0.0088398
