                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.3623,                 1.3205,                  1.309,                 0.7087,                0.53591,                 0.6169,                0.38342,                 1.4191,                 1.2409,                 1.4595,               0.009681,               0.009681,               0.009681
                     35,                 1.4156,                 1.4057,                 1.3612,                0.77257,                0.52373,                 0.5983,                 0.3788,                 1.3664,                 1.2254,                 1.4619,              0.0096713,              0.0096713,              0.0096713
                     36,                 1.3539,                 1.3377,                 1.3277,                0.78513,                0.53314,                0.59924,                 0.3882,                 1.3399,                 1.2173,                   1.43,              0.0096616,              0.0096616,              0.0096616
                     37,                 1.3419,                 1.2657,                   1.32,                0.73199,                 0.4765,                0.56714,                0.35073,                    nan,                    nan,                    nan,               0.009652,               0.009652,               0.009652
                     38,                  1.363,                 1.3075,                 1.3045,                0.78585,                0.57143,                0.67584,                0.42193,                 1.3745,                 1.1528,                  1.422,              0.0096423,              0.0096423,              0.0096423
                     39,                 1.3024,                 1.2535,                 1.3106,                0.63397,                 0.5909,                0.62818,                0.39556,                 1.3925,                 1.2448,                 1.4753,              0.0096326,              0.0096326,              0.0096326
                     40,                 1.3252,                 1.2526,                 1.3122,                0.71516,                0.57031,                0.62552,                0.39647,                 1.3853,                 1.2231,                 1.4171,              0.0096229,              0.0096229,              0.0096229
                     41,                 1.3209,                 1.2539,                 1.2984,                0.78877,                0.56018,                0.65645,                0.39507,                    nan,                    nan,                    nan,              0.0096133,              0.0096133,              0.0096133
                     42,                 1.3369,                 1.2368,                 1.3184,                 0.6825,                0.54375,                0.64192,                0.40127,                 1.4356,                 1.2063,                 1.4917,              0.0096036,              0.0096036,              0.0096036
                     43,                 1.3109,                 1.2471,                 1.3046,                0.78212,                0.47483,                0.60947,                0.38504,                 1.3186,                 1.3157,                 1.4349,              0.0095939,              0.0095939,              0.0095939
                     44,                 1.3105,                 1.1738,                 1.2838,                0.73905,                0.56464,                0.67098,                0.41913,                  1.382,                 1.1848,                 1.4308,              0.0095843,              0.0095843,              0.0095843
                     45,                 1.3151,                 1.1939,                 1.2898,                0.70883,                0.59094,                0.64802,                0.41949,                 1.3261,                 1.2589,                 1.4088,              0.0095746,              0.0095746,              0.0095746
                     46,                 1.3187,                 1.1952,                 1.2881,                 0.8171,                0.62343,                0.71372,                0.44999,                 1.3328,                 1.0195,                 1.3842,              0.0095649,              0.0095649,              0.0095649
                     47,                 1.2962,                 1.1772,                 1.2908,                0.77582,                0.57762,                0.67501,                 0.4409,                 1.3357,                 1.1368,                 1.4248,              0.0095553,              0.0095553,              0.0095553
                     48,                 1.3096,                 1.1968,                 1.2895,                0.76943,                0.54688,                0.65424,                 0.3981,                 1.4258,                 1.1915,                 1.4604,              0.0095456,              0.0095456,              0.0095456
                     49,                 1.2975,                 1.1503,                 1.2871,                 0.7445,                0.60103,                0.65535,                0.42232,                 1.3109,                 1.0984,                 1.3966,              0.0095359,              0.0095359,              0.0095359
                     50,                 1.3035,                 1.2107,                 1.2897,                0.81533,                0.46598,                 0.5919,                0.38233,                 1.4005,                 1.2682,                 1.5118,              0.0095263,              0.0095263,              0.0095263
                     51,                 1.2945,                 1.1698,                 1.2796,                0.79827,                0.61104,                0.68242,                0.44637,                 1.3681,                 1.1071,                 1.4224,              0.0095166,              0.0095166,              0.0095166
                     52,                 1.2848,                 1.1398,                 1.2788,                0.84881,                0.56248,                0.66613,                0.40549,                 1.4633,                 1.1921,                 1.4764,              0.0095069,              0.0095069,              0.0095069
                     53,                 1.3225,                 1.1517,                 1.2928,                0.81582,                0.56582,                0.70059,                0.44539,                 1.3733,                 1.0837,                 1.4385,              0.0094973,              0.0094973,              0.0094973
